,0,1,2,3,4
0,1.0,1.0,1.0,0.35064935064935066,0.6493506493506493
1,11.0,0.0,0.0,0.6428571428571429,0.35714285714285715
2,13.0,0.0,0.0,0.6428571428571429,0.35714285714285715
3,23.0,1.0,1.0,0.05333333333333334,0.9466666666666667
4,28.0,1.0,1.0,0.05333333333333334,0.9466666666666667
5,44.0,1.0,1.0,0.05333333333333334,0.9466666666666667
6,59.0,1.0,1.0,0.05333333333333334,0.9466666666666667
7,67.0,0.0,0.0,0.9772727272727273,0.022727272727272728
8,79.0,1.0,1.0,0.05333333333333334,0.9466666666666667
9,112.0,1.0,1.0,0.35064935064935066,0.6493506493506493
10,113.0,0.0,1.0,0.35064935064935066,0.6493506493506493
11,131.0,1.0,1.0,0.05333333333333334,0.9466666666666667
12,145.0,0.0,0.0,0.8888888888888888,0.1111111111111111
13,148.0,1.0,0.0,0.8888888888888888,0.1111111111111111
14,166.0,1.0,0.0,0.8888888888888888,0.1111111111111111
15,168.0,1.0,1.0,0.3,0.7
16,183.0,0.0,0.0,0.6428571428571429,0.35714285714285715
17,197.0,0.0,1.0,0.35064935064935066,0.6493506493506493
18,203.0,1.0,1.0,0.35064935064935066,0.6493506493506493
19,204.0,0.0,1.0,0.35064935064935066,0.6493506493506493
20,222.0,1.0,0.0,0.6428571428571429,0.35714285714285715
21,249.0,1.0,1.0,0.05333333333333334,0.9466666666666667
22,250.0,1.0,1.0,0.05333333333333334,0.9466666666666667
23,251.0,1.0,1.0,0.35064935064935066,0.6493506493506493
24,263.0,1.0,1.0,0.35064935064935066,0.6493506493506493
25,269.0,1.0,1.0,0.35064935064935066,0.6493506493506493
26,282.0,0.0,1.0,0.35064935064935066,0.6493506493506493
27,292.0,1.0,1.0,0.05333333333333334,0.9466666666666667
28,314.0,0.0,0.0,0.8888888888888888,0.1111111111111111
29,316.0,0.0,0.0,0.9772727272727273,0.022727272727272728
30,318.0,0.0,0.0,0.9772727272727273,0.022727272727272728
31,326.0,0.0,0.0,0.8888888888888888,0.1111111111111111
32,329.0,0.0,0.0,0.9772727272727273,0.022727272727272728
33,344.0,0.0,0.0,0.9772727272727273,0.022727272727272728
34,351.0,0.0,0.0,0.9772727272727273,0.022727272727272728
