,0,1,2,3,4
0,21.0,1.0,1.0,0.25,0.75
1,55.0,1.0,1.0,0.0,1.0
2,69.0,1.0,1.0,0.25,0.75
3,82.0,0.0,0.0,1.0,0.0
4,87.0,0.0,0.0,1.0,0.0
5,101.0,0.0,0.0,1.0,0.0
6,102.0,0.0,0.0,0.75,0.25
7,115.0,0.0,1.0,0.25,0.75
8,132.0,1.0,1.0,0.125,0.875
9,143.0,1.0,1.0,0.375,0.625
10,153.0,1.0,0.0,0.5,0.5
11,157.0,0.0,0.0,0.625,0.375
12,162.0,0.0,0.0,0.5,0.5
13,164.0,1.0,0.0,0.5,0.5
14,177.0,1.0,1.0,0.375,0.625
15,210.0,0.0,0.0,0.75,0.25
16,231.0,0.0,0.0,0.75,0.25
17,232.0,0.0,0.0,1.0,0.0
18,235.0,1.0,1.0,0.25,0.75
19,236.0,0.0,0.0,0.875,0.125
20,238.0,0.0,0.0,1.0,0.0
21,241.0,1.0,0.0,0.875,0.125
22,242.0,0.0,0.0,1.0,0.0
23,248.0,0.0,0.0,0.5,0.5
24,254.0,1.0,1.0,0.0,1.0
25,257.0,1.0,1.0,0.25,0.75
26,268.0,1.0,0.0,0.75,0.25
27,300.0,0.0,0.0,1.0,0.0
28,321.0,0.0,0.0,0.5,0.5
29,333.0,0.0,0.0,0.75,0.25
30,343.0,0.0,0.0,1.0,0.0
31,345.0,0.0,0.0,0.875,0.125
32,348.0,0.0,0.0,1.0,0.0
33,353.0,0.0,0.0,1.0,0.0
34,354.0,0.0,0.0,1.0,0.0
