,feature,importance,importance_std,abs_importance
0,ATSC2are,0.09000000000000004,0.009910845174403948,0.09000000000000004
1,SdssC,0.09000000000000004,0.009910845174403937,0.09000000000000004
2,ATSC7d,0.03923076923076922,0.0037684457581279936,0.03923076923076922
3,AATSC2p,0.03538461538461542,0.009545902804608368,0.03538461538461542
4,BCUTv-1h,0.033076923076923094,0.0052171769100963815,0.033076923076923094
5,AATSC4c,0.030000000000000006,0.005102499677469827,0.030000000000000006
6,GATS5se,0.030000000000000006,0.003768445758127953,0.030000000000000006
7,BCUTd-1l,0.027692307692307704,0.006617173282340459,0.027692307692307704
8,GATS2se,0.026153846153846173,0.005102499677469828,0.026153846153846173
9,VSA_EState5,0.02461538461538464,0.006705998374677935,0.02461538461538464
10,ATSC2c,0.023076923076923106,0.0042132504423474165,0.023076923076923106
11,GATS1c,0.019230769230769273,0.0054392829322041925,0.019230769230769273
12,MATS3se,0.013846153846153886,0.005217176910096384,0.013846153846153886
13,AXp-5d,0.013076923076923142,0.0018842228790639764,0.013076923076923142
14,VSA_EState1,0.01307692307692312,0.007919715493066932,0.01307692307692312
15,AATSC2se,0.010000000000000031,0.0052171769100963945,0.010000000000000031
16,MATS3c,0.009230769230769242,0.003922322702763715,0.009230769230769242
17,MATS3are,0.008461538461538475,0.002878197989826146,0.008461538461538475
18,BCUTi-1l,0.008461538461538475,0.002878197989826146,0.008461538461538475
19,ATSC3c,0.006923076923076921,0.004485347611419488,0.006923076923076921
20,PEOE_VSA11,0.005384615384615388,0.005217176910096367,0.005384615384615388
21,GATS1s,0.005384615384615388,0.003922322702763702,0.005384615384615388
22,SssNH,0.005384615384615365,0.0018842228790639764,0.005384615384615365
23,BCUTc-1l,0.005384615384615365,0.0018842228790639764,0.005384615384615365
24,ATSC7v,0.005384615384615365,0.003076923076923066,0.005384615384615365
25,GATS4v,0.004615384615384599,0.0028781979898260986,0.004615384615384599
26,SpMax_A,0.004615384615384599,0.0015384615384615328,0.004615384615384599
27,AATSC2c,0.0038461538461538546,0.0054392829322042245,0.0038461538461538546
28,AATSC6d,-0.003076923076923066,0.001538461538461533,0.003076923076923066
29,PEOE_VSA13,0.003076923076923066,0.003768445758127953,0.003076923076923066
30,PEOE_VSA6,0.0023076923076922997,0.004615384615384599,0.0023076923076922997
31,TopoPSA,0.0023076923076922997,0.0018842228790639764,0.0023076923076922997
32,GATS5c,0.0023076923076922997,0.003076923076923066,0.0023076923076922997
33,n5Ring_1,0.0,0.0,0.0
34,n5Ring_2,0.0,0.0,0.0
35,n5Ring_3,0.0,0.0,0.0
36,n5Ring_0,0.0,0.0,0.0
37,NdO_6,0.0,0.0,0.0
38,NssO_2,0.0,0.0,0.0
39,NaaNH_1,0.0,0.0,0.0
40,NssNH_0,0.0,0.0,0.0
41,NssNH_1,0.0,0.0,0.0
42,NssNH_2,0.0,0.0,0.0
43,NssNH_3,0.0,0.0,0.0
44,NssNH_4,0.0,0.0,0.0
45,NssNH_6,0.0,0.0,0.0
46,NaaNH_0,0.0,0.0,0.0
47,NaaNH_2,0.0,0.0,0.0
