,0,1,2,3,4
0,0.0,0.0,0.0,0.5,0.5
1,1.0,0.0,0.0,0.5,0.5
2,2.0,0.0,0.0,0.875,0.125
3,3.0,0.0,0.0,0.875,0.125
4,4.0,0.0,0.0,0.75,0.25
5,5.0,0.0,0.0,0.75,0.25
6,6.0,1.0,1.0,0.375,0.625
7,7.0,1.0,0.0,0.5,0.5
8,8.0,0.0,0.0,0.875,0.125
9,9.0,0.0,0.0,0.75,0.25
10,10.0,1.0,0.0,0.5,0.5
11,11.0,0.0,0.0,0.5,0.5
12,12.0,0.0,0.0,0.875,0.125
13,13.0,1.0,0.0,0.5,0.5
14,14.0,0.0,0.0,0.5,0.5
15,15.0,1.0,0.0,0.625,0.375
16,16.0,0.0,0.0,0.625,0.375
17,17.0,0.0,1.0,0.375,0.625
18,18.0,0.0,1.0,0.375,0.625
19,19.0,0.0,0.0,0.875,0.125
20,20.0,1.0,0.0,0.5,0.5
21,21.0,0.0,0.0,0.625,0.375
22,22.0,1.0,0.0,0.5,0.5
23,23.0,0.0,0.0,0.75,0.25
24,24.0,0.0,0.0,0.75,0.25
25,25.0,0.0,0.0,0.625,0.375
26,26.0,0.0,0.0,0.75,0.25
27,27.0,0.0,0.0,0.625,0.375
28,28.0,0.0,0.0,0.75,0.25
29,29.0,1.0,1.0,0.375,0.625
30,30.0,1.0,1.0,0.375,0.625
31,31.0,1.0,0.0,0.5,0.5
32,32.0,0.0,1.0,0.375,0.625
33,33.0,0.0,0.0,0.625,0.375
34,34.0,1.0,1.0,0.375,0.625
35,35.0,1.0,1.0,0.25,0.75
36,36.0,1.0,1.0,0.375,0.625
37,37.0,0.0,1.0,0.25,0.75
38,38.0,0.0,0.0,0.75,0.25
39,39.0,1.0,1.0,0.375,0.625
40,40.0,1.0,0.0,0.625,0.375
41,41.0,1.0,0.0,0.625,0.375
42,42.0,0.0,0.0,0.625,0.375
43,43.0,0.0,1.0,0.375,0.625
