feature,importance,importance_abs,SMARTS,SMARTS_label
fp_79,1.05,1.05,[#7]~*~*~[#7],NAAN
fp_41,0.92,0.92,[#6]#[#7],CTN
fp_42,0.89,0.89,F,F
$\Delta t$,0.8,0.8,not_MACCSkeys,not_MACCSkeys
fp_49,0.79,0.79,[!+0],CHARGE
fp_90,0.77,0.77,"[$([!#6;!#1;!H0]~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[CH2;R]1)]",QHAACH2A
fp_125,0.69,0.69,?,Aromatic Ring > 1
fp_134,0.63,0.63,"[F,Cl,Br,I]",X (HALOGEN)
fp_107,0.63,0.63,"[F,Cl,Br,I]~*(~*)~*",XA(A)A
fp_100,-0.63,0.63,*~[CH2]~[#7],ACH2N
fp_64,-0.61,0.61,*@*!@[#16],A$A!S
fp_140,-0.6,0.6,[#8],O > 3 (&...)
fp_135,-0.58,0.58,[#7;!H0],NH
fp_11,-0.56,0.56,*1~*~*~*~1,4M Ring
fp_59,-0.51,0.51,[#16]!:*:*,Snot%A%A
fp_37,-0.5,0.5,[#7]~[#6](~[#8])~[#7],NC(O)N
fp_133,-0.49,0.49,*@*!@[#7],A$A!N
fp_153,-0.48,0.48,[!#6;!#1]~[CH2]~*,QCH2A
fp_27,-0.48,0.48,[I],I
fp_66,-0.47,0.47,[#6]~[#6](~[#6])(~[#6])~*,CC(C)(C)A
fp_76,0.45,0.45,[#6]=[#6](~*)~*,C=C(A)A
fp_45,0.45,0.45,[#6]=[#6]~[#7],C=CN
fp_99,0.45,0.45,[#6]=[#6],C=C
fp_141,0.45,0.45,[CH3],CH3 > 2 (&...)
fp_149,0.44,0.44,"[C;H3,H4]",CH3 > 1
fp_145,-0.43,0.43,*1~*~*~*~*~*~1,6M ring > 1
fp_154,-0.43,0.43,[#6]=[#8],C=O
fp_74,-0.41,0.41,[CH3]~*~[CH3],CH3ACH3
fp_123,-0.4,0.4,[#8]~[#6]~[#8],OCO
fp_87,0.4,0.4,"[F,Cl,Br,I]!@*@*",X!A$A
fp_119,0.4,0.4,[#7]=*,N=A
fp_52,-0.37,0.37,[#7]~[#7],NN
fp_95,0.37,0.37,[#7]~*~*~[#8],NAAO
fp_115,0.37,0.37,[CH3]~*~[CH2]~*,CH3ACH2A
fp_96,-0.36,0.36,*1~*~*~*~*~1,5 M ring
fp_83,-0.36,0.36,[!#6;!#1]1~*~*~*~*~1,QAAAA@1
fp_138,-0.36,0.36,[!#6;!#1]~[CH2]~*,QCH2A>1 (&...)
fp_62,0.35,0.35,*@*!@*@*,A$!A$A
fp_80,-0.35,0.35,[#7]~*~*~*~[#7],NAAAN
fp_91,0.35,0.35,"[$([!#6;!#1;!H0]~*~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~*~[R]1@[R]@[CH2;R]1)]",QHAAACH2A
fp_150,0.32,0.32,*!@*@*!@*,A!A$A!A
fp_78,0.31,0.31,[#6]=[#7],C=N
assay_ph,-0.31,0.31,not_MACCSkeys,not_MACCSkeys
fp_120,-0.3,0.3,[!#6;R],Heterocyclic atom > 1 (&...)
fp_43,0.29,0.29,[!#6;!#1;!H0]~*~[!#6;!#1;!H0],QHAQH
fp_164,-0.29,0.29,[#8],O
fp_114,0.28,0.28,[CH3]~[CH2]~*,CH3CH2A
fp_73,0.27,0.27,[#16]=*,S=A
fp_104,0.27,0.27,[!#6;!#1]~[CH2]~*~*~[CH2]~[!#6;!#1],QCH2AAQCH2Q
fp_36,-0.27,0.27,[#16R],S Heterocycle
[Cl$^{-}]$,-0.26,0.26,not_MACCSkeys,not_MACCSkeys
fp_88,0.26,0.26,[#16],S
fp_112,-0.26,0.26,*~*(~*)(~*)~*,AA(A)(A)A
fp_111,-0.26,0.26,[#7]~*~[CH2]~*,NACH2A
fp_81,0.26,0.26,[#16]~*(~*)~*,SA(A)A
fp_93,-0.25,0.25,[!#6;!#1]~[CH3],QCH3
fp_130,0.24,0.24,[!#6;!#1]~[!#6;!#1],QQ > 1 (&...)
fp_31,0.24,0.24,"[!#6;!#1]~[F,Cl,Br,I]",QX
fp_160,-0.23,0.23,"[C;H3,H4]",CH3
fp_152,0.22,0.22,[#8]~[#6](~[#6])~[#6],OC(C)C
fp_137,-0.22,0.22,[!C;!c;R],Heterocycle
fp_105,-0.22,0.22,*@*!@[#16],A$A!S
fp_63,0.21,0.21,[#7]=[#8],N=O
fp_56,0.21,0.21,[#8]~[#7](~[#8])~[#6],ON(O)C
fp_71,0.21,0.21,[#7]~[#8],NO
fp_24,0.21,0.21,[#7]-[#8],N-O
fp_148,0.21,0.21,*~[!#6;!#1](~*)~*,AQ(A)A
fp_108,-0.19,0.19,[CH3]~*~*~*~[CH2]~*,CH3AAACH2A
fp_46,0.17,0.17,Br,BR
fp_136,-0.17,0.17,[#8]=*,O=A>1
fp_75,0.17,0.17,*!@[#7]@*,A!N$A
fp_89,0.17,0.17,[#8]~*~*~*~[#8],OAAAO
fp_155,-0.17,0.17,*!@[CH2]!@*,A!CH2!A
fp_38,-0.17,0.17,[#7]~[#6](~[#6])~[#7],NC(C)N
fp_94,-0.17,0.17,[!#6;!#1]~[#7],QN
fp_54,0.16,0.16,[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0],QHAAQH
fp_69,-0.16,0.16,[!#6;!#1]~[!#6;!#1;!H0],QQH
fp_129,-0.15,0.15,"[$(*~[CH2]~*~*~[CH2]~*),$([R]1@[CH2]@[R]@[R]@[CH2;R]1),$(*~[CH2]~[R]1@[R]@[CH2;R]1)]",ACH2AACH2A
fp_128,0.15,0.15,"[$(*~[CH2]~*~*~*~[CH2]~*),$([R]1@[CH2;R]@[R]@[R]@[R]@[CH2;R]1),$(*~[CH2]~[R]1@[R]@[R]@[CH2;R]1),$(*~[CH2]~*~[R]1@[R]@[CH2;R]1)]",ACH2AAACH2A
fp_158,-0.14,0.14,[#6]-[#7],C-N
fp_144,0.14,0.14,*!:*:*!:*,Anot%A%Anot%A
fp_163,-0.14,0.14,*1~*~*~*~*~*~1,6M Ring
fp_85,0.13,0.13,[#6]~[#7](~[#6])~[#6],CN(C)C
fp_67,0.13,0.13,[!#6;!#1]~[#16],QS
fp_58,0.13,0.13,[!#6;!#1]~[#16]~[!#6;!#1],QSQ
fp_61,0.13,0.13,*~[#16](~*)~*,AS(A)A
fp_101,-0.12,0.12,"[$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1)]",8-connected
fp_106,0.12,0.12,[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1],QA(Q)Q
fp_65,-0.12,0.12,c:n,C%N
fp_117,0.12,0.12,[#7]~*~[#8],NAO
fp_110,0.12,0.12,[#7]~[#6]~[#8],NCO
fp_82,-0.12,0.12,*~[CH2]~[!#6;!#1;!H0],ACH2QH
fp_126,-0.12,0.12,*!@[#8]!@*,A!O!A
fp_157,-0.12,0.12,[#6]-[#8],C-O
fp_70,0.12,0.12,[!#6;!#1]~[#7]~[!#6;!#1],QNQ
fp_60,-0.11,0.11,[#16]=[#8],S=O
fp_51,-0.11,0.11,[#6]~[#16]~[#8],CSO
fp_55,-0.11,0.11,[#8]~[#16]~[#8],OSO
fp_109,-0.11,0.11,*~[CH2]~[#8],ACH2O
fp_92,0.1,0.1,[#8]~[#6](~[#7])~[#6],OC(N)C
fp_102,0.1,0.1,[!#6;!#1]~[CH2]~*~*~[CH2]~[!#6;!#1],QCH2AAQCH2Q
fp_113,-0.08,0.08,[#8]!:*:*,Onot%A%A
fp_122,0.08,0.08,*~[#7](~*)~*,AN(A)A
fp_116,0.08,0.08,"[$([CH3]~*~*~[CH2]~*),$([CH3]~*1~*~[CH2]1)]",CH3AACH2A
fp_118,-0.07,0.07,"[$(*~[CH2]~[CH2]~*),$(*1~[CH2]~[CH2]1)]",ACH2CH2A > 1
fp_147,-0.07,0.07,"[$(*~[CH2]~[CH2]~*),$([R]1@[CH2;R]@[CH2;R]1)]",ACH2CH2A
fp_47,0.05,0.05,[#16]~*~[#7],SAN
fp_97,0.05,0.05,[#7]~*~*~*~[#8],NAAAO
fp_159,0.05,0.05,[#8],O>1
fp_121,0.05,0.05,[#7;R],N Heterocycle
fp_77,-0.04,0.04,[#7]~*~[#7],NAN
fp_143,0.04,0.04,*@*!@[#8],A$A!O
fp_127,0.04,0.04,*@*!@[#8],A$A!O > 1 (&...)
fp_124,-0.04,0.04,[!#6;!#1]~[!#6;!#1],QQ
fp_72,-0.04,0.04,[#8]~*~*~[#8],OAAO
fp_103,0.04,0.04,*~[CH2]~*~[CH2]~*,ACH2ACH2A
fp_50,0.03,0.03,[#6]=[#6](~[#6])~[#6],C=C(C)C
fp_86,-0.03,0.03,"[C;H2,H3][!#6;!#1][C;H2,H3]",CH2QCH2
fp_132,0.03,0.03,[#8]~*~[CH2]~*,OACH2A
fp_146,0.02,0.02,[#8],O > 2
fp_139,0.01,0.01,[O;!H0],OH
fp_98,-0.01,0.01,[!#6;!#1]1~*~*~*~*~*~1,QAAAAA@1
fp_165,-0.0,0.0,[R],Ring
fp_162,-0.0,0.0,a,Aromatic
fp_131,0.0,0.0,[!#6;!#1;!H0],QH > 1
fp_142,0.0,0.0,[#7],N > 1
fp_156,0.0,0.0,[#7]~*(~*)~*,NA(A)A
fp_161,0.0,0.0,[#7],N
fp_151,0.0,0.0,[#7;!H0],NH
