,feature,importance,importance_std,abs_importance
0,BCUTc-1h,0.17307692307692302,0.024446536280108754,0.17307692307692302
1,PEOE_VSA12,0.0692307692307692,0.008426500884694833,0.0692307692307692
2,fp_107,0.06538461538461537,0.008426500884694833,0.06538461538461537
3,fp_97,0.05461538461538455,0.011512791959304438,0.05461538461538455
4,fp_149,0.05230769230769228,0.008284868934053103,0.05230769230769228
5,fp_79,0.03461538461538458,0.01216260638526299,0.03461538461538458
6,fp_41,0.01538461538461533,0.002432521277052591,0.01538461538461533
7,fp_128,0.01076923076923073,0.002878197989826099,0.01076923076923073
8,[Cl$^{-}]$,0.003076923076923066,0.0015384615384615328,0.003076923076923066
9,fp_119,0.0,0.0,0.0
10,fp_131,0.0,0.0,0.0
11,fp_130,0.0,0.0,0.0
12,fp_129,0.0,0.0,0.0
13,fp_127,0.0,0.0,0.0
14,fp_126,0.0,0.0,0.0
15,fp_125,0.0,0.0,0.0
16,fp_124,0.0,0.0,0.0
17,fp_123,0.0,0.0,0.0
18,fp_122,0.0,0.0,0.0
19,fp_121,0.0,0.0,0.0
20,fp_120,0.0,0.0,0.0
21,fp_103,0.0,0.0,0.0
22,fp_105,0.0,0.0,0.0
23,fp_106,0.0,0.0,0.0
24,fp_118,0.0,0.0,0.0
25,fp_117,0.0,0.0,0.0
26,fp_133,0.0,0.0,0.0
27,fp_116,0.0,0.0,0.0
28,fp_115,0.0,0.0,0.0
29,fp_114,0.0,0.0,0.0
30,fp_113,0.0,0.0,0.0
31,fp_112,0.0,0.0,0.0
32,fp_111,0.0,0.0,0.0
33,fp_110,0.0,0.0,0.0
34,fp_109,0.0,0.0,0.0
35,fp_108,0.0,0.0,0.0
36,fp_104,0.0,0.0,0.0
37,fp_132,0.0,0.0,0.0
38,fp_135,0.0,0.0,0.0
39,fp_134,0.0,0.0,0.0
40,fp_152,0.0,0.0,0.0
41,$\Delta t$,0.0,0.0,0.0
42,fp_165,0.0,0.0,0.0
43,fp_164,0.0,0.0,0.0
44,fp_163,0.0,0.0,0.0
45,fp_162,0.0,0.0,0.0
46,fp_161,0.0,0.0,0.0
47,fp_160,0.0,0.0,0.0
48,fp_159,0.0,0.0,0.0
49,fp_158,0.0,0.0,0.0
50,fp_157,0.0,0.0,0.0
51,fp_156,0.0,0.0,0.0
52,fp_155,0.0,0.0,0.0
53,fp_154,0.0,0.0,0.0
54,fp_153,0.0,0.0,0.0
55,fp_151,0.0,0.0,0.0
56,fp_101,0.0,0.0,0.0
57,fp_150,0.0,0.0,0.0
58,fp_148,0.0,0.0,0.0
59,fp_147,0.0,0.0,0.0
60,fp_146,0.0,0.0,0.0
61,fp_145,0.0,0.0,0.0
62,fp_144,0.0,0.0,0.0
63,fp_143,0.0,0.0,0.0
64,fp_142,0.0,0.0,0.0
65,fp_141,0.0,0.0,0.0
66,fp_140,0.0,0.0,0.0
67,fp_139,0.0,0.0,0.0
68,fp_138,0.0,0.0,0.0
69,fp_137,0.0,0.0,0.0
70,fp_136,0.0,0.0,0.0
71,fp_102,0.0,0.0,0.0
72,fp_98,0.0,0.0,0.0
73,fp_100,0.0,0.0,0.0
74,fp_51,0.0,0.0,0.0
75,fp_43,0.0,0.0,0.0
76,fp_45,0.0,0.0,0.0
77,fp_46,0.0,0.0,0.0
78,fp_47,0.0,0.0,0.0
