,feature,importance,importance_std,abs_importance
0,ATSC2are,0.07763157894736845,0.008972487958543336,0.07763157894736845
1,SdssC,0.05855263157894739,0.01128054486808043,0.05855263157894739
2,VSA_EState5,0.03684210526315794,0.006378526128179378,0.03684210526315794
3,ATSC7d,0.03486842105263162,0.008972487958543345,0.03486842105263162
4,AATSC2p,0.03289473684210531,0.009533800490914122,0.03289473684210531
5,ATSC2c,0.03223684210526321,0.004834519229177299,0.03223684210526321
6,BCUTd-1l,0.03092105263157898,0.005344762108313136,0.03092105263157898
7,BCUTv-1h,0.0302631578947369,0.0024616167018249482,0.0302631578947369
8,GATS5se,0.029605263157894756,0.009977467689541513,0.029605263157894756
9,AATSC4c,0.022368421052631593,0.0024616167018249842,0.022368421052631593
10,GATS2se,0.015789473684210555,0.004834519229177299,0.015789473684210555
11,GATS1c,0.01447368421052635,0.003354618101047867,0.01447368421052635
12,AXp-5d,0.013157894736842146,0.0036034378783234423,0.013157894736842146
13,MATS3se,0.012500000000000022,0.004834519229177342,0.012500000000000022
14,AATSC2se,0.009868421052631637,0.0029421947072365497,0.009868421052631637
15,MATS3c,0.009868421052631615,0.0058843894144731245,0.009868421052631615
16,VSA_EState1,0.009210526315789513,0.003223012819451574,0.009210526315789513
17,GATS1s,0.009210526315789513,0.003836152562398238,0.009210526315789513
18,BCUTi-1l,0.008552631578947433,0.0016115064097257665,0.008552631578947433
19,BCUTc-1l,0.007894736842105333,0.0016115064097257665,0.007894736842105333
20,AATSC2c,0.005263157894736881,0.004462059199424547,0.005263157894736881
21,PEOE_VSA6,0.0052631578947368585,0.004462059199424541,0.0052631578947368585
22,ATSC7v,0.0052631578947368585,0.002631578947368457,0.0052631578947368585
23,SssNH,0.004605263157894779,0.002631578947368457,0.004605263157894779
24,ATSC3c,0.004605263157894756,0.0033546181010479146,0.004605263157894756
25,MATS3are,0.004605263157894735,0.0026315789473684514,0.004605263157894735
26,GATS2are,0.003947368421052655,0.0038361525623982528,0.003947368421052655
27,GATS5c,0.003947368421052633,0.001315789473684248,0.003947368421052633
28,GATS4v,0.003289473684210509,0.0,0.003289473684210509
29,PEOE_VSA13,0.0026315789473684514,0.0038361525623982497,0.0026315789473684514
30,TopoPSA,0.0026315789473684292,0.00322301281945156,0.0026315789473684292
31,AATSC6d,-0.002631578947368407,0.0024616167018249482,0.002631578947368407
32,NssNH_4,0.0,0.0,0.0
33,NssNH_3,0.0,0.0,0.0
34,NdO_1,0.0,0.0,0.0
35,NssNH_2,0.0,0.0,0.0
36,NssNH_1,0.0,0.0,0.0
37,NssNH_0,0.0,0.0,0.0
38,n5Ring_2,0.0,0.0,0.0
39,n5Ring_3,0.0,0.0,0.0
40,n5HRing_0,0.0,0.0,0.0
41,n5Ring_1,0.0,0.0,0.0
42,NaaNH_1,0.0,0.0,0.0
43,NssNH_6,0.0,0.0,0.0
44,NaaNH_0,0.0,0.0,0.0
45,NdO_0,0.0,0.0,0.0
46,n5Ring_0,0.0,0.0,0.0
47,NssO_2,0.0,0.0,0.0
48,NaaNH_2,0.0,0.0,0.0
49,NssO_1,0.0,0.0,0.0
50,NssO_0,0.0,0.0,0.0
51,n5HRing_1,0.0,0.0,0.0
52,NdO_6,0.0,0.0,0.0
53,NdO_5,0.0,0.0,0.0
54,NdO_4,0.0,0.0,0.0
55,NdO_3,0.0,0.0,0.0
56,NdO_2,0.0,0.0,0.0
57,SpMax_A,0.0,0.002080445829058133,0.0
58,n5ARing_0,0.0,0.0,0.0
59,n5HRing_2,0.0,0.0,0.0
60,nFHRing_1,0.0,0.0,0.0
61,bisbzimpy,0.0,0.0,0.0
62,perenosin,0.0,0.0,0.0
63,acridinone,0.0,0.0,0.0
64,carbazole,0.0,0.0,0.0
65,tambjamine,0.0,0.0,0.0
66,indole,0.0,0.0,0.0
67,squaramide,0.0,0.0,0.0
68,urea,0.0,0.0,0.0
69,thiourea,0.0,0.0,0.0
70,$\Delta t$,0.0,0.0,0.0
71,[Cl$^{-}]$,0.0,0.0,0.0
72,nFHRing_2,0.0,0.0,0.0
73,nFHRing_0,0.0,0.0,0.0
74,n5HRing_3,0.0,0.0,0.0
75,nFRing_2,0.0,0.0,0.0
76,nFRing_1,0.0,0.0,0.0
77,nFRing_0,0.0,0.0,0.0
78,n5AHRing_1,0.0,0.0,0.0
79,n5AHRing_0,0.0,0.0,0.0
80,nAHRing_1,0.0,0.0,0.0
81,nAHRing_0,0.0,0.0,0.0
82,n5ARing_1,0.0,0.0,0.0
83,NdssC_3,0.0,0.0,0.0
84,nARing_2,0.0,0.0,0.0
85,nARing_1,0.0,0.0,0.0
86,nARing_0,0.0,0.0,0.0
87,NdssC_4,0.0,0.0,0.0
88,nS_1,0.0,0.0,0.0
89,NdssC_2,0.0,0.0,0.0
