,feature,importance,importance_std,abs_importance
0,VSA_EState1,0.21538461538461542,0.012162606385262982,0.21538461538461542
1,GATS1c,0.15692307692307694,0.01384615384615388,0.15692307692307694
2,BCUTc-1l,0.06461538461538463,0.019060787220559768,0.06461538461538463
3,ATSC7d,0.05769230769230771,0.02005908432370048,0.05769230769230771
4,BCUTc-1h,0.055384615384615386,0.011040538534159474,0.055384615384615386
5,MATS2c,0.009230769230769265,0.003076923076923116,0.009230769230769265
6,NdO_1,0.0,0.0,0.0
7,NssNH_6,0.0,0.0,0.0
8,NaaNH_0,0.0,0.0,0.0
9,NaaNH_1,0.0,0.0,0.0
10,NaaNH_2,0.0,0.0,0.0
11,NdO_0,0.0,0.0,0.0
12,SpMax_A,0.0,0.0,0.0
13,NdO_2,0.0,0.0,0.0
14,NssNH_4,0.0,0.0,0.0
15,NdO_4,0.0,0.0,0.0
16,NdO_5,0.0,0.0,0.0
17,NdO_6,0.0,0.0,0.0
18,NssO_0,0.0,0.0,0.0
19,NdO_3,0.0,0.0,0.0
20,NssNH_2,0.0,0.0,0.0
21,NssNH_3,0.0,0.0,0.0
22,NssO_2,0.0,0.0,0.0
23,nBondsD_2,0.0,0.0,0.0
24,nBondsD_3,0.0,0.0,0.0
25,nBondsD_4,0.0,0.0,0.0
26,nBondsD_5,0.0,0.0,0.0
27,nBondsD_6,0.0,0.0,0.0
28,NdsCH_0,0.0,0.0,0.0
29,NdsCH_1,0.0,0.0,0.0
30,NdsCH_2,0.0,0.0,0.0
31,NdssC_0,0.0,0.0,0.0
32,NdssC_1,0.0,0.0,0.0
33,NdssC_2,0.0,0.0,0.0
34,NdssC_3,0.0,0.0,0.0
35,NdssC_4,0.0,0.0,0.0
36,NssNH_0,0.0,0.0,0.0
37,NssNH_1,0.0,0.0,0.0
38,NssO_1,0.0,0.0,0.0
39,n5Ring_1,0.0,0.0,0.0
40,n5Ring_0,0.0,0.0,0.0
41,urea,0.0,0.0,0.0
42,nFHRing_0,0.0,0.0,0.0
43,nFHRing_1,0.0,0.0,0.0
44,nFHRing_2,0.0,0.0,0.0
45,[Cl$^{-}]$,0.0,0.0,0.0
46,$\Delta t$,0.0,0.0,0.0
47,thiourea,0.0,0.0,0.0
48,squaramide,0.0,0.0,0.0
49,nFRing_1,0.0,0.0,0.0
50,indole,0.0,0.0,0.0
51,tambjamine,0.0,0.0,0.0
52,carbazole,0.0,0.0,0.0
53,acridinone,0.0,0.0,0.0
54,perenosin,0.0,0.0,0.0
55,bisbzimpy,0.0,0.0,0.0
56,nFRing_2,0.0,0.0,0.0
57,nFRing_0,0.0,0.0,0.0
58,nBondsD_0,0.0,0.0,0.0
59,nARing_0,0.0,0.0,0.0
60,n5Ring_2,0.0,0.0,0.0
61,n5Ring_3,0.0,0.0,0.0
62,n5HRing_0,0.0,0.0,0.0
63,n5HRing_1,0.0,0.0,0.0
64,n5HRing_2,0.0,0.0,0.0
65,n5HRing_3,0.0,0.0,0.0
66,nARing_1,0.0,0.0,0.0
67,n5AHRing_1,0.0,0.0,0.0
68,nARing_2,0.0,0.0,0.0
69,n5ARing_0,0.0,0.0,0.0
70,n5ARing_1,0.0,0.0,0.0
71,nAHRing_0,0.0,0.0,0.0
72,nAHRing_1,0.0,0.0,0.0
73,n5AHRing_0,0.0,0.0,0.0
74,nBondsD_1,0.0,0.0,0.0
75,nS_1,0.0,0.0,0.0
76,nS_3,0.0,0.0,0.0
77,MATS7v,0.0,0.0,0.0
78,AATSC2p,0.0,0.0,0.0
79,MATS1c,0.0,0.0,0.0
80,MATS3c,0.0,0.0,0.0
81,MATS4c,0.0,0.0,0.0
82,MATS6d,0.0,0.0,0.0
83,MATS6s,0.0,0.0,0.0
84,MATS2se,0.0,0.0,0.0
85,nS_2,0.0,0.0,0.0
86,MATS3se,0.0,0.0,0.0
87,MATS2pe,0.0,0.0,0.0
88,MATS2are,0.0,0.0,0.0
89,MATS3are,0.0,0.0,0.0
90,GATS2c,0.0,0.0,0.0
91,GATS3c,0.0,0.0,0.0
92,AATSC2se,0.0,0.0,0.0
93,AATSC7v,0.0,0.0,0.0
94,AATSC6d,0.0,0.0,0.0
95,AATSC5c,0.0,0.0,0.0
96,AATSC4c,0.0,0.0,0.0
97,AATSC3c,0.0,0.0,0.0
98,AATSC2c,0.0,0.0,0.0
99,AATSC0c,0.0,0.0,0.0
100,ATSC2are,0.0,0.0,0.0
101,ATSC2pe,0.0,0.0,0.0
102,ATSC2se,0.0,0.0,0.0
103,ATSC7v,0.0,0.0,0.0
104,ATSC6d,0.0,0.0,0.0
105,ATSC5c,0.0,0.0,0.0
106,ATSC4c,0.0,0.0,0.0
107,ATSC3c,0.0,0.0,0.0
108,ATSC2c,0.0,0.0,0.0
109,GATS5c,0.0,0.0,0.0
110,GATS1s,0.0,0.0,0.0
111,GATS2s,0.0,0.0,0.0
112,PEOE_VSA6,0.0,0.0,0.0
113,ATSC0c,0.0,0.0,0.0
114,nS_0,0.0,0.0,0.0
115,nBase_1,0.0,0.0,0.0
116,nBase_0,0.0,0.0,0.0
