,feature,importance,importance_std,abs_importance
0,$\Delta t$,0.09307692307692303,0.012259521115776335,0.09307692307692303
1,[Cl$^{-}]$,0.06846153846153843,0.006153846153846132,0.06846153846153843
2,nS_0,0.04076923076923074,0.007919715493066895,0.04076923076923074
3,nS_1,0.039999999999999966,0.005217176910096342,0.039999999999999966
4,indole,0.03538461538461535,0.008565791327430815,0.03538461538461535
5,thiourea,0.031538461538461515,0.004485347611419488,0.031538461538461515
6,NdO_0,0.031538461538461515,0.007457969011409747,0.031538461538461515
7,urea,0.030000000000000006,0.0028781979898260986,0.030000000000000006
8,NdssC_2,0.027692307692307638,0.00821313711694718,0.027692307692307638
9,NdO_2,0.026923076923076893,0.012162606385263003,0.026923076923076893
10,BCUTi-1l,0.024615384615384574,0.005756395979652245,0.024615384615384574
11,AXp-5d,0.019999999999999952,0.0037684457581279936,0.019999999999999952
12,nBondsD_2,0.019999999999999952,0.00856579132743081,0.019999999999999952
13,NssO_1,0.017692307692307653,0.008284868934053087,0.017692307692307653
14,NssO_0,0.015384615384615353,0.008426500884694873,0.015384615384615353
15,nFRing_0,0.015384615384615353,0.007692307692307699,0.015384615384615353
16,nFHRing_0,0.015384615384615353,0.007692307692307699,0.015384615384615353
17,NdO_1,0.01538461538461533,0.003440104580768895,0.01538461538461533
18,NssNH_2,0.01538461538461533,0.004865042554105182,0.01538461538461533
19,EState_VSA3,0.014615384615384563,0.003768445758127953,0.014615384615384563
20,MATS4c,0.014615384615384563,0.003768445758127953,0.014615384615384563
21,nS_2,0.014615384615384563,0.006153846153846131,0.014615384615384563
22,n5Ring_0,0.013846153846153796,0.005217176910096342,0.013846153846153796
23,n5HRing_0,0.013846153846153796,0.005217176910096342,0.013846153846153796
24,nARing_0,0.012307692307692264,0.0028781979898260986,0.012307692307692264
25,nARing_1,0.012307692307692264,0.0028781979898260986,0.012307692307692264
26,SRW05,0.011538461538461497,0.003440104580768895,0.011538461538461497
27,n5HRing_2,0.011538461538461497,0.00688020916153779,0.011538461538461497
28,BCUTc-1h,0.011538461538461497,0.002432521277052591,0.011538461538461497
29,n5Ring_2,0.011538461538461497,0.00688020916153779,0.011538461538461497
30,NdssC_3,0.011538461538461497,0.004865042554105182,0.011538461538461497
31,SpMax_A,0.011538461538461497,0.003440104580768895,0.011538461538461497
32,nFRing_1,0.01076923076923073,0.003768445758127953,0.01076923076923073
33,GATS3c,0.01076923076923073,0.0051024996774698276,0.01076923076923073
34,GATS1s,0.01076923076923073,0.004485347611419446,0.01076923076923073
35,GATS4v,0.01076923076923073,0.0028781979898260986,0.01076923076923073
36,PEOE_VSA6,0.01076923076923073,0.004485347611419446,0.01076923076923073
37,nFHRing_1,0.01076923076923073,0.003768445758127953,0.01076923076923073
38,NaaNH_0,0.01076923076923073,0.005652668637191929,0.01076923076923073
39,AATSC2p,0.009999999999999964,0.006249260311258408,0.009999999999999964
40,MATS3are,0.009230769230769199,0.004615384615384599,0.009230769230769199
41,MATS7v,0.009230769230769199,0.007919715493066895,0.009230769230769199
42,nAHRing_0,0.008461538461538432,0.0051024996774698276,0.008461538461538432
43,GATS1c,0.008461538461538432,0.006617173282340459,0.008461538461538432
44,nAHRing_1,0.008461538461538432,0.0051024996774698276,0.008461538461538432
45,NaaNH_1,0.008461538461538432,0.004485347611419446,0.008461538461538432
46,VSA_EState3,0.008461538461538432,0.0028781979898260986,0.008461538461538432
47,MATS6s,0.008461538461538432,0.003768445758127953,0.008461538461538432
48,GATS5c,0.008461538461538432,0.0015384615384615328,0.008461538461538432
49,nBondsD_3,0.008461538461538432,0.004485347611419446,0.008461538461538432
50,TopoPSA,0.007692307692307665,0.002432521277052591,0.007692307692307665
51,AATSC7v,0.006923076923076898,0.006153846153846132,0.006923076923076898
52,VSA_EState1,0.006923076923076898,0.0028781979898260986,0.006923076923076898
53,AATSC4c,0.006923076923076898,0.003768445758127953,0.006923076923076898
54,nBase_0,0.006923076923076898,0.004485347611419446,0.006923076923076898
55,nBase_1,0.006923076923076898,0.004485347611419446,0.006923076923076898
56,NdsCH_0,0.006923076923076898,0.0028781979898260986,0.006923076923076898
57,GATS2s,0.006923076923076898,0.0028781979898260986,0.006923076923076898
58,NssNH_4,0.006153846153846132,0.005756395979652198,0.006153846153846132
59,BCUTc-1l,0.006153846153846132,0.0018842228790639764,0.006153846153846132
60,nBondsD_1,0.005384615384615365,0.0039223227027636665,0.005384615384615365
61,AATSC2se,0.005384615384615365,0.0018842228790639764,0.005384615384615365
62,MATS3c,0.005384615384615365,0.0039223227027636665,0.005384615384615365
63,PEOE_VSA10,0.005384615384615365,0.0030769230769230656,0.005384615384615365
64,GATS2are,0.005384615384615365,0.0030769230769230656,0.005384615384615365
65,SdsCH,0.005384615384615365,0.003076923076923066,0.005384615384615365
66,MATS6d,0.004615384615384599,0.005102499677469827,0.004615384615384599
67,NdO_5,0.004615384615384599,0.0015384615384615328,0.004615384615384599
68,NdsCH_2,0.004615384615384599,0.0028781979898260986,0.004615384615384599
69,NdssC_0,0.004615384615384599,0.0015384615384615328,0.004615384615384599
70,NssNH_1,0.004615384615384599,0.0028781979898260986,0.004615384615384599
71,n5Ring_1,0.004615384615384599,0.0028781979898260986,0.004615384615384599
72,AATSC0c,0.004615384615384599,0.003768445758127953,0.004615384615384599
73,n5HRing_1,0.004615384615384599,0.0028781979898260986,0.004615384615384599
74,n5ARing_0,0.004615384615384599,0.0028781979898260986,0.004615384615384599
75,n5ARing_1,0.004615384615384599,0.0028781979898260986,0.004615384615384599
76,MATS2pe,0.004615384615384599,0.003768445758127953,0.004615384615384599
77,n5AHRing_0,0.004615384615384599,0.0028781979898260986,0.004615384615384599
78,n5AHRing_1,0.004615384615384599,0.0028781979898260986,0.004615384615384599
79,GATS2pe,0.004615384615384599,0.004485347611419446,0.004615384615384599
80,tambjamine,0.004615384615384599,0.0028781979898260986,0.004615384615384599
81,GATS2c,0.004615384615384599,0.0015384615384615328,0.004615384615384599
82,AATSC5c,0.0038461538461538325,0.002432521277052591,0.0038461538461538325
83,ATSC2pe,0.0038461538461538325,0.0,0.0038461538461538325
84,ATSC2se,0.0038461538461538325,0.0,0.0038461538461538325
85,ATSC4c,0.0038461538461538325,0.003440104580768895,0.0038461538461538325
86,ATSC2are,0.0038461538461538325,0.0,0.0038461538461538325
87,isophthalamides_dipicolineamides,0.0038461538461538325,0.0,0.0038461538461538325
88,GATS5se,0.0038461538461538325,0.0042132504423474165,0.0038461538461538325
89,PEOE_VSA13,0.0038461538461538325,0.002432521277052591,0.0038461538461538325
90,nBondsD_5,0.0038461538461538325,0.002432521277052591,0.0038461538461538325
91,BCUTp-1h,0.003076923076923066,0.001538461538461533,0.003076923076923066
92,squaramide,0.003076923076923066,0.002878197989826099,0.003076923076923066
93,SaaNH,0.003076923076923066,0.003768445758127953,0.003076923076923066
94,AATSC6d,0.003076923076923066,0.002878197989826099,0.003076923076923066
95,MATS3se,0.003076923076923066,0.002878197989826099,0.003076923076923066
96,SdO,0.0023076923076922997,0.0018842228790639764,0.0023076923076922997
97,GATS2se,0.0023076923076922997,0.003076923076923066,0.0023076923076922997
98,ATSC5c,0.0023076923076922997,0.0018842228790639764,0.0023076923076922997
99,NaaNH_2,0.0023076923076922997,0.003076923076923066,0.0023076923076922997
100,perenosin,0.0023076923076922997,0.0018842228790639764,0.0023076923076922997
