,feature,importance,importance_std,abs_importance
0,ATSC2are,0.09407894736842107,0.018326826680505434,0.09407894736842107
1,SdssC,0.06644736842105266,0.009163413340252714,0.06644736842105266
2,VSA_EState5,0.03618421052631586,0.009758155904073241,0.03618421052631586
3,GATS5se,0.03618421052631582,0.008057532048628895,0.03618421052631582
4,ATSC2c,0.03486842105263162,0.004462059199424495,0.03486842105263162
5,AATSC2p,0.03355263157894741,0.005659424517791172,0.03355263157894741
6,ATSC7d,0.03289473684210529,0.00805753204862887,0.03289473684210529
7,BCUTd-1l,0.02960526315789478,0.004160891658116302,0.02960526315789478
8,AATSC4c,0.02763157894736845,0.004923233403649938,0.02763157894736845
9,BCUTv-1h,0.025000000000000043,0.003354618101047915,0.025000000000000043
10,GATS1c,0.018421052631578984,0.006101064799668234,0.018421052631578984
11,GATS2se,0.01842105263157896,0.008217102629471595,0.01842105263157896
12,MATS3c,0.013157894736842146,0.004652018297279893,0.013157894736842146
13,MATS3se,0.011842105263157942,0.002631578947368407,0.011842105263157942
14,VSA_EState1,0.011842105263157942,0.005344762108313103,0.011842105263157942
15,AXp-5d,0.011184210526315842,0.004462059199424494,0.011184210526315842
16,AATSC2se,0.009868421052631615,0.004160891658116302,0.009868421052631615
17,BCUTi-1l,0.009210526315789535,0.0024616167018249487,0.009210526315789535
18,MATS3are,0.009210526315789535,0.0024616167018249482,0.009210526315789535
19,GATS1s,0.009210526315789513,0.003223012819451574,0.009210526315789513
20,AATSC2c,0.007894736842105333,0.002631578947368407,0.007894736842105333
21,ATSC7v,0.00789473684210531,0.005344762108313136,0.00789473684210531
22,ATSC3c,0.007236842105263231,0.0013157894736842036,0.007236842105263231
23,PEOE_VSA6,0.007236842105263186,0.003836152562398249,0.007236842105263186
24,BCUTc-1l,0.005921052631578961,0.0038361525623982493,0.005921052631578961
25,GATS5c,0.004605263157894756,0.001611506409725821,0.004605263157894756
26,GATS2are,0.003289473684210553,0.002942194707236599,0.003289473684210553
27,PEOE_VSA13,0.003289473684210531,0.0020804458290581682,0.003289473684210531
28,SssNH,0.0026315789473684292,0.0024616167018249842,0.0026315789473684292
29,TopoPSA,0.0026315789473684292,0.002461616701824984,0.0026315789473684292
30,AATSC6d,-0.002631578947368407,0.0013157894736842036,0.002631578947368407
31,GATS4v,0.0019736842105263054,0.0016115064097257665,0.0019736842105263054
32,SpMax_A,0.0013157894736842257,0.0039473684210526395,0.0013157894736842257
33,PEOE_VSA11,0.0006578947368421018,0.003223012819451533,0.0006578947368421018
34,NaaNH_0,0.0,0.0,0.0
35,NssNH_6,0.0,0.0,0.0
36,NssNH_3,0.0,0.0,0.0
37,NssNH_4,0.0,0.0,0.0
38,NssNH_2,0.0,0.0,0.0
39,n5Ring_3,0.0,0.0,0.0
40,NssNH_1,0.0,0.0,0.0
41,n5HRing_0,0.0,0.0,0.0
42,n5Ring_2,0.0,0.0,0.0
43,NdO_3,0.0,0.0,0.0
44,NaaNH_1,0.0,0.0,0.0
45,NdO_4,0.0,0.0,0.0
46,n5Ring_1,0.0,0.0,0.0
47,NdO_0,0.0,0.0,0.0
48,n5Ring_0,0.0,0.0,0.0
49,NdO_1,0.0,0.0,0.0
50,NdO_2,0.0,0.0,0.0
51,NssO_2,0.0,0.0,0.0
52,NssO_1,0.0,0.0,0.0
53,n5HRing_1,0.0,0.0,0.0
54,NssO_0,0.0,0.0,0.0
55,NdO_6,0.0,0.0,0.0
56,NdO_5,0.0,0.0,0.0
57,NaaNH_2,0.0,0.0,0.0
58,n5ARing_0,0.0,0.0,0.0
59,n5HRing_2,0.0,0.0,0.0
60,nFHRing_1,0.0,0.0,0.0
61,bisbzimpy,0.0,0.0,0.0
62,perenosin,0.0,0.0,0.0
63,acridinone,0.0,0.0,0.0
64,carbazole,0.0,0.0,0.0
65,tambjamine,0.0,0.0,0.0
66,indole,0.0,0.0,0.0
67,squaramide,0.0,0.0,0.0
68,urea,0.0,0.0,0.0
69,thiourea,0.0,0.0,0.0
70,$\Delta t$,0.0,0.0,0.0
71,[Cl$^{-}]$,0.0,0.0,0.0
72,nFHRing_2,0.0,0.0,0.0
73,nFHRing_0,0.0,0.0,0.0
74,n5HRing_3,0.0,0.0,0.0
75,nFRing_2,0.0,0.0,0.0
76,nFRing_1,0.0,0.0,0.0
77,nFRing_0,0.0,0.0,0.0
78,n5AHRing_1,0.0,0.0,0.0
