,feature,importance,importance_std,abs_importance
0,PEOE_VSA6,0.0023076923076922997,0.0018842228790639764,0.0023076923076922997
1,EState_VSA3,0.0023076923076922997,0.0018842228790639764,0.0023076923076922997
2,ATSC0c,-0.001538461538461533,0.0018842228790639766,0.001538461538461533
3,SssNH,0.001538461538461533,0.0018842228790639766,0.001538461538461533
4,SssO,0.0007692307692307665,0.001538461538461533,0.0007692307692307665
5,VSA_EState3,0.0007692307692307665,0.001538461538461533,0.0007692307692307665
6,GATS5se,0.0007692307692307665,0.001538461538461533,0.0007692307692307665
7,MATS4c,0.0007692307692307665,0.001538461538461533,0.0007692307692307665
8,AATSC5c,0.0007692307692307665,0.001538461538461533,0.0007692307692307665
9,NssNH_6,0.0,0.0,0.0
10,NaaNH_0,0.0,0.0,0.0
11,NaaNH_1,0.0,0.0,0.0
12,SpMax_A,0.0,0.0,0.0
13,NssNH_4,0.0,0.0,0.0
14,NdO_0,0.0,0.0,0.0
15,NdO_1,0.0,0.0,0.0
16,NdO_2,0.0,0.0,0.0
17,NdO_3,0.0,0.0,0.0
18,NdO_4,0.0,0.0,0.0
19,NdO_5,0.0,0.0,0.0
20,NdO_6,0.0,0.0,0.0
21,NaaNH_2,0.0,0.0,0.0
22,NssNH_2,0.0,0.0,0.0
23,NssNH_3,0.0,0.0,0.0
24,NssO_1,0.0,0.0,0.0
25,NssNH_1,0.0,0.0,0.0
26,NssNH_0,0.0,0.0,0.0
27,NdssC_4,0.0,0.0,0.0
28,NdssC_3,0.0,0.0,0.0
29,NdssC_2,0.0,0.0,0.0
30,NdssC_1,0.0,0.0,0.0
31,NdssC_0,0.0,0.0,0.0
32,NdsCH_2,0.0,0.0,0.0
33,NdsCH_1,0.0,0.0,0.0
34,NdsCH_0,0.0,0.0,0.0
35,nBondsD_6,0.0,0.0,0.0
36,nBondsD_5,0.0,0.0,0.0
37,nBondsD_4,0.0,0.0,0.0
38,NssO_0,0.0,0.0,0.0
39,NssO_2,0.0,0.0,0.0
40,nBondsD_2,0.0,0.0,0.0
41,n5Ring_0,0.0,0.0,0.0
42,nFRing_2,0.0,0.0,0.0
43,nFHRing_0,0.0,0.0,0.0
44,nFHRing_1,0.0,0.0,0.0
45,nFHRing_2,0.0,0.0,0.0
46,[Cl$^{-}]$,0.0,0.0,0.0
47,$\Delta t$,0.0,0.0,0.0
48,thiourea,0.0,0.0,0.0
49,urea,0.0,0.0,0.0
50,squaramide,0.0,0.0,0.0
51,indole,0.0,0.0,0.0
52,tambjamine,0.0,0.0,0.0
53,carbazole,0.0,0.0,0.0
54,acridinone,0.0,0.0,0.0
55,perenosin,0.0,0.0,0.0
56,bisbzimpy,0.0,0.0,0.0
57,nFRing_1,0.0,0.0,0.0
58,nFRing_0,0.0,0.0,0.0
59,n5AHRing_1,0.0,0.0,0.0
60,n5HRing_3,0.0,0.0,0.0
61,n5Ring_1,0.0,0.0,0.0
62,n5Ring_2,0.0,0.0,0.0
63,n5Ring_3,0.0,0.0,0.0
64,n5HRing_0,0.0,0.0,0.0
65,n5HRing_1,0.0,0.0,0.0
66,n5HRing_2,0.0,0.0,0.0
67,nARing_0,0.0,0.0,0.0
68,n5AHRing_0,0.0,0.0,0.0
69,nARing_1,0.0,0.0,0.0
70,nARing_2,0.0,0.0,0.0
71,n5ARing_0,0.0,0.0,0.0
72,n5ARing_1,0.0,0.0,0.0
73,nAHRing_0,0.0,0.0,0.0
74,nAHRing_1,0.0,0.0,0.0
75,nBondsD_3,0.0,0.0,0.0
76,nS_1,0.0,0.0,0.0
77,nBondsD_1,0.0,0.0,0.0
78,AATSC7v,0.0,0.0,0.0
79,GATS1c,0.0,0.0,0.0
